Ticker,Index
SPX,S&P 500
IXIC,US COMPOSITE INDEX
DJI,Dow Jones Industrial Average
VIX,CBOE VOLATILITY INDEX
TSX,S&P/TSX COMPOSITE INDEX
UKX,UK 100 INDEX
DAX,DAX INDEX
PX1,CAC 40
FTMIB,MILANO ITALIA BORSA INDEX
NI225,NIKKEI 225
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI)
000001,SSE COMPOSITE INDEX
399001,SHENZHEN COMPONENT INDEX
XJO,S&P/ASX 200
COMPOSITE,IDX COMPOSITE
SX5E,STOXX 50
IMOEX,MOEX Russia Index
XU100,BIST 100
SA40,SOUTH AFRICA TOP 40 INDEX
NIFTY,NIFTY 50
SENSEX,S&P BSE SENSEX
TASI,TADAWUL ALL SHARES INDEX
IBOV,BOVESPA INDEX
ME,S&P/BMV IPC MEXICO
IMV,S&P/BYMA ARGENTINA GENERAL PANEL MERVAL EQUITIES
IDX30,IDX 30
